travel_time_m,mode,origin,destination
27.816666666666666,driving,3,27
17.566666666666666,driving,3,28
19.183333333333334,driving,3,29
21.016666666666666,driving,3,30
29.566666666666666,driving,3,31
26.7,driving,3,32
22.233333333333334,driving,3,33
21.35,driving,3,34
19.95,driving,3,35
26.583333333333332,driving,3,36
33.85,driving,3,37
44.55,driving,3,38
40.65,driving,3,39
43.06666666666667,driving,3,40
14.35,driving,3,41
19.916666666666668,driving,3,42
27.183333333333334,driving,3,43
19.25,driving,3,44
14.75,driving,3,45
26.8,driving,3,46
23.783333333333335,driving,3,47
32.78333333333333,driving,3,48
32.083333333333336,driving,3,49
36.9,driving,3,50
32.11666666666667,driving,3,51
31.283333333333335,driving,3,52
36.36666666666667,driving,3,53
38.4,driving,3,54
23.183333333333334,driving,3,55
23.483333333333334,driving,3,56
21.233333333333334,driving,3,57
37.166666666666664,driving,3,58
36.416666666666664,driving,3,59
35.666666666666664,driving,3,60
37.65,driving,3,61
52.31666666666667,driving,3,62
52.766666666666666,driving,3,63
48.833333333333336,driving,3,64
41.166666666666664,driving,3,65
18.316666666666666,driving,3,66
47.63333333333333,driving,4,1
44.733333333333334,driving,4,2
51.46666666666667,driving,4,3
0,driving,4,4
6.816666666666666,driving,4,5
10.9,driving,4,6
10.75,driving,4,7
14.866666666666667,driving,4,8
35.53333333333333,driving,4,9
41.11666666666667,driving,4,10
49.81666666666667,driving,4,11
20.65,driving,4,12
24.35,driving,4,13
24.116666666666667,driving,4,14
13.516666666666667,driving,4,15
18.35,driving,4,16
29.7,driving,4,17
52.11666666666667,driving,4,18
22.316666666666666,driving,4,19
49.45,driving,4,20
46.56666666666667,driving,4,21
25.416666666666668,driving,4,22
48.56666666666667,driving,4,23
50.36666666666667,driving,4,24
50.2,driving,4,25
75.23333333333333,driving,4,26
49.5,driving,4,27
41.7,driving,4,28
46.333333333333336,driving,4,29
48.166666666666664,driving,4,30
54.55,driving,4,31
50.833333333333336,driving,4,32
43.516666666666666,driving,4,33
45.483333333333334,driving,4,34
42.35,driving,4,35
45.61666666666667,driving,4,36
56.45,driving,4,37
63.28333333333333,driving,4,38
59.38333333333333,driving,4,39
67.2,driving,4,40
49.2,driving,4,41
56.78333333333333,driving,4,42
31.866666666666667,driving,4,43
42.85,driving,4,44
48,driving,4,45
37.266666666666666,driving,4,46
42.516666666666666,driving,4,47
39.233333333333334,driving,4,48
36.766666666666666,driving,4,49
40.3,driving,4,50
26.216666666666665,driving,4,51
22.566666666666666,driving,4,52
33.71666666666667,driving,4,53
26.533333333333335,driving,4,54
63,driving,4,55
63.3,driving,4,56
64.31666666666666,driving,4,57
17.9,driving,4,58
42.86666666666667,driving,4,59
34.18333333333333,driving,4,60
38.15,driving,4,61
